show flights from denver to oakland that arrive after DIGITDIGIT o'clock  ,<NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name <NOTABLE> <NOTABLE> B-after B-time I-time  ,O O O B-fromloc.city_name O B-toloc.city_name O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time  
what airlines fly from boston to pittsburgh  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O O O B-fromloc.city_name O B-toloc.city_name  
now i need a flight from detroit to san diego leaving tuesday evening  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name I-city_name <NOTABLE> B-day_name B-period_of_day  ,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day  
show me flights going from san francisco to pittsburgh first class on monday of leaving after DIGITDIGIT noon  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name I-city_name <NOTABLE> B-city_name B-class_type I-class_type <NOTABLE> B-day_name <NOTABLE> <NOTABLE> B-after B-time I-time  ,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-class_type I-class_type O B-depart_date.day_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time  
show me the daily flight schedule between boston and pittsburgh  ,<NOTABLE> <NOTABLE> <NOTABLE> B-flight_days B-flight_time I-flight_time <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O O B-flight_days B-flight_time I-flight_time O B-fromloc.city_name O B-toloc.city_name  
what flights go from dallas to san francisco before DIGIT o'clock sunday afternoon  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name I-city_name B-before B-time I-time B-day_name B-period_of_day  ,O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time B-depart_date.day_name B-depart_time.period_of_day  
what flights from kansas city to chicago leave next wednesday returning the following day  ,<NOTABLE> <NOTABLE> <NOTABLE> B-city_name I-city_name <NOTABLE> B-city_name <NOTABLE> B-next B-day_name <NOTABLE> B-today_relative I-today_relative I-today_relative  ,O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.date_relative B-depart_date.day_name O B-return_date.today_relative I-return_date.today_relative I-return_date.today_relative  
show me delta flights from dallas to denver  ,<NOTABLE> <NOTABLE> B-airline_name <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name  
what is the cheapest one way ticket from denver to pittsburgh  ,<NOTABLE> <NOTABLE> <NOTABLE> B-cost_relative B-round_trip I-round_trip <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name  
what flights do you have from newark new jersey to ontario california that connect in phoenix  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name B-state_name I-state_name <NOTABLE> B-city_name B-state_name <NOTABLE> B-connect <NOTABLE> B-city_name  ,O O O O O O B-fromloc.city_name B-fromloc.state_name I-fromloc.state_name O B-toloc.city_name B-toloc.state_name O B-connect O B-stoploc.city_name  
list all flights from new york to las vegas that fly nonstop on sunday and list flights from memphis to las vegas that fly nonstop on sunday  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name I-city_name <NOTABLE> B-city_name I-city_name <NOTABLE> <NOTABLE> B-flight_stop <NOTABLE> B-day_name <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name I-city_name <NOTABLE> <NOTABLE> B-flight_stop <NOTABLE> B-day_name  ,O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-flight_stop O B-depart_date.day_name O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-flight_stop O B-depart_date.day_name  
give me the cheapest flight from dallas to baltimore on saturday  ,<NOTABLE> <NOTABLE> <NOTABLE> B-cost_relative <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name <NOTABLE> B-day_name  ,O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name  
please list available flights for next saturday from philadelphia to dallas  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-next B-day_name <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O O O O B-depart_date.date_relative B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name  
give me the continental flights from chicago to seattle on friday  ,<NOTABLE> <NOTABLE> <NOTABLE> B-airline_name <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name <NOTABLE> B-day_name  ,O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name  
i would like a flight from philadelphia to dallas  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O O O O O B-fromloc.city_name O B-toloc.city_name  
what kind of ground transportation is there in denver  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name  ,O O O O O O O O B-city_name  
i want a flight departing from newark to los angeles that leaves in the morning  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name I-city_name <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-period_of_day  ,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-depart_time.period_of_day  
show me ground transportation information for pittsburgh  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name  ,O O O O O O B-city_name  
which airlines fly between boston and pittsburgh  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O O O B-fromloc.city_name O B-toloc.city_name  
show me the lowest fare for a round trip flight from baltimore to dallas  ,<NOTABLE> <NOTABLE> <NOTABLE> B-cost_relative <NOTABLE> <NOTABLE> <NOTABLE> B-round_trip I-round_trip <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O O B-cost_relative O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name  
show me all flights from phoenix to milwaukee next wednesday  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name B-next B-day_name  ,O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.date_relative B-depart_date.day_name  
show me the flights from san francisco to boston  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name I-city_name <NOTABLE> B-city_name  ,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name  
are there any united airlines flights between boston and dallas  ,<NOTABLE> <NOTABLE> <NOTABLE> B-airline_name I-airline_name <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name  
what flights are between boston and atlanta on july thirty first  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name <NOTABLE> B-month_name B-day_number I-day_number  ,O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number  
what ground transportation is available at the baltimore airport  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-airport_name I-airport_name  ,O O O O O O O B-airport_name I-airport_name  
how many fares are there one way from tacoma to montreal  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-round_trip I-round_trip <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O O O O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name  
which airlines fly from boston to washington dc via other cities  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name B-state_code <NOTABLE> <NOTABLE> <NOTABLE>  ,O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O  
i 'm interested in flying from atlanta to boston i 'd like to fly during breakfast  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-meal_description  ,O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O O B-meal_description  
flights from charlotte to baltimore  ,<NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O B-fromloc.city_name O B-toloc.city_name  
what is the least expensive flight from atlanta to boston  ,<NOTABLE> <NOTABLE> <NOTABLE> B-cost_relative I-cost_relative <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O O B-cost_relative I-cost_relative O O B-fromloc.city_name O B-toloc.city_name  
show all flights and fares from denver to san francisco  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name I-city_name  ,O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name  
from las vegas to new york a nonstop twa and fare  ,<NOTABLE> B-city_name I-city_name <NOTABLE> B-city_name I-city_name <NOTABLE> B-flight_stop B-airline_code <NOTABLE> <NOTABLE>  ,O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-flight_stop B-airline_code O O  
i need a flight from atlanta to baltimore and this flight should arrive at DIGIT pm please  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-time I-time <NOTABLE>  ,O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O O B-arrive_time.time I-arrive_time.time O  
i would like a flight from philadelphia to dallas on american airlines  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name <NOTABLE> B-airline_name I-airline_name  ,O O O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name  
an american airlines flight first class from philadelphia to dallas  ,<NOTABLE> B-airline_name I-airline_name <NOTABLE> B-class_type I-class_type <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O B-airline_name I-airline_name O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name  
my <UNK> is i want to go to san francisco and i live in denver and i would like to fly on united airlines do you have an early flight  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name I-city_name <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-airline_name I-airline_name <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-early <NOTABLE>  ,O O O O O O O O B-toloc.city_name I-toloc.city_name O O O O B-fromloc.city_name O O O O O O O B-airline_name I-airline_name O O O O B-flight_mod O  
show me all flights from boston to atlanta which leave atlanta after noon tomorrow  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name <NOTABLE> <NOTABLE> B-city_name B-after B-time B-today_relative  ,O O O O O B-fromloc.city_name O B-toloc.city_name O O B-fromloc.city_name B-depart_time.time_relative B-depart_time.time B-depart_date.today_relative  
is there a flight between san francisco and boston with a stopover in dallas fort worth  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name I-city_name <NOTABLE> B-city_name <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name I-city_name I-city_name  ,O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name I-stoploc.city_name I-stoploc.city_name  
i would like flights between boston and atlanta on july <UNK> departing at one in the afternoon  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name <NOTABLE> B-month_name B-day_number <NOTABLE> <NOTABLE> B-one <NOTABLE> <NOTABLE> B-period_of_day  ,O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number O O B-depart_time.time O O B-depart_time.period_of_day  
okay give me the flights that leave denver after DIGIT pm next monday arriving in boston  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name B-after B-time I-time B-next B-day_name <NOTABLE> <NOTABLE> B-city_name  ,O O O O O O O B-fromloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time B-depart_date.date_relative B-depart_date.day_name O O B-toloc.city_name  
give me us air flights for next wednesday from cleveland to miami  ,<NOTABLE> <NOTABLE> B-airline_name I-airline_name <NOTABLE> <NOTABLE> B-next B-day_name <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O B-airline_name I-airline_name O O B-depart_date.date_relative B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name  
hi i 'm <UNK> from boston i 'd like to make a flight to either orlando or los angeles  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name B-or B-city_name I-city_name  ,O O O O O B-fromloc.city_name O O O O O O O O O B-toloc.city_name B-or B-toloc.city_name I-toloc.city_name  
what is the earliest flight from philadelphia to dallas first class  ,<NOTABLE> <NOTABLE> <NOTABLE> B-flight_mod <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name B-class_type I-class_type  ,O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name B-class_type I-class_type  
okay on monday may thirty first i 'd like to go from san diego to phoenix early in the morning  ,<NOTABLE> <NOTABLE> B-day_name B-month_name B-day_number I-day_number <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name I-city_name <NOTABLE> B-city_name B-early <NOTABLE> <NOTABLE> B-period_of_day  ,O O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-depart_time.period_mod O O B-depart_time.period_of_day  
let 's look at baltimore to philadelphia again  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name <NOTABLE>  ,O O O O B-fromloc.city_name O B-toloc.city_name O  
all flights from baltimore to philadelphia less than DIGITDIGITDIGITDIGIT dollars  ,<NOTABLE> <NOTABLE> <NOTABLE> B-city_name <NOTABLE> B-city_name B-less <NOTABLE> B-fare_amount I-fare_amount  ,O O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount  
is there a flight tomorrow morning from columbus to nashville  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-today_relative B-period_of_day <NOTABLE> B-city_name <NOTABLE> B-city_name  ,O O O O B-depart_date.today_relative B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name  
i would like to book a flight from los angeles to pittsburgh on june first  ,<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> B-city_name I-city_name <NOTABLE> B-city_name <NOTABLE> B-month_name B-first  ,O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number  
